freq,psd_x,psd_y,psd_z,psd_xyz,ei(42.8)
170.8,3.764e+00,2.170e+00,6.141e+00,1.208e+01,0.419
172.2,3.217e+00,3.002e+00,8.679e+00,1.490e+01,0.416
173.7,2.554e+00,2.637e+00,8.895e+00,1.409e+01,0.410
175.2,3.154e+00,3.174e+00,8.695e+00,1.502e+01,0.403
176.6,3.462e+00,4.131e+00,8.148e+00,1.574e+01,0.393
178.1,3.889e+00,5.607e+00,8.508e+00,1.800e+01,0.382
179.5,4.221e+00,8.134e+00,8.899e+00,2.125e+01,0.369
181.0,4.001e+00,1.171e+01,9.355e+00,2.507e+01,0.354
182.5,3.891e+00,1.223e+01,7.628e+00,2.375e+01,0.338
183.9,4.096e+00,1.597e+01,7.560e+00,2.763e+01,0.321
185.4,4.243e+00,1.937e+01,7.567e+00,3.118e+01,0.304
186.8,4.089e+00,2.231e+01,6.782e+00,3.318e+01,0.285
188.3,3.263e+00,2.180e+01,5.109e+00,3.017e+01,0.266
189.8,4.297e+00,3.091e+01,6.289e+00,4.150e+01,0.247
191.2,3.874e+00,3.603e+01,5.676e+00,4.558e+01,0.228
192.7,2.907e+00,3.919e+01,4.496e+00,4.659e+01,0.209
194.1,3.821e+00,5.838e+01,5.468e+00,6.767e+01,0.191
195.6,3.651e+00,6.891e+01,4.920e+00,7.749e+01,0.183
197.1,3.879e+00,1.161e+02,5.456e+00,1.254e+02,0.177
198.5,4.216e+00,1.280e+02,5.004e+00,1.372e+02,0.172
200.0,4.719e+00,1.115e+02,4.012e+00,1.202e+02,0.167
