freq,psd_x,psd_y,psd_z,psd_xyz
131.4,5.304e+02,2.665e+04,2.921e+03,3.010e+04
132.9,4.352e+02,1.593e+04,2.065e+03,1.843e+04
134.3,3.665e+02,2.061e+03,6.919e+02,3.120e+03
135.8,3.604e+02,5.991e+02,2.776e+02,1.237e+03
137.3,3.731e+02,6.397e+02,1.992e+02,1.212e+03
138.8,3.515e+02,5.467e+02,2.331e+02,1.131e+03
140.3,4.258e+02,5.822e+02,2.841e+02,1.292e+03
141.7,3.717e+02,5.731e+02,2.602e+02,1.205e+03
143.2,2.853e+02,5.462e+02,3.604e+02,1.192e+03
144.7,3.137e+02,6.453e+02,5.844e+02,1.543e+03
146.2,2.798e+02,4.068e+02,4.103e+02,1.097e+03
147.6,2.708e+02,7.634e+02,6.956e+02,1.730e+03
149.1,2.928e+02,1.080e+03,7.312e+02,2.104e+03
150.6,2.806e+02,1.119e+03,6.059e+02,2.005e+03
152.1,2.850e+02,1.273e+03,8.100e+02,2.368e+03
153.5,2.799e+02,1.509e+03,7.810e+02,2.570e+03
155.0,2.587e+02,1.677e+03,7.086e+02,2.645e+03
156.5,2.268e+02,1.865e+03,6.902e+02,2.782e+03
158.0,1.973e+02,1.499e+03,4.948e+02,2.191e+03
159.4,2.206e+02,1.140e+03,5.371e+02,1.898e+03
160.9,2.513e+02,1.868e+03,9.053e+02,3.025e+03
162.4,2.785e+02,1.692e+03,8.791e+02,2.850e+03
163.9,3.103e+02,1.929e+03,1.104e+03,3.344e+03
165.4,3.209e+02,1.586e+03,1.323e+03,3.230e+03
166.8,3.124e+02,1.038e+03,1.340e+03,2.690e+03
168.3,3.118e+02,1.161e+03,1.814e+03,3.287e+03
169.8,2.818e+02,1.292e+03,2.257e+03,3.831e+03
171.3,2.725e+02,8.886e+02,2.116e+03,3.278e+03
172.7,2.647e+02,1.459e+03,4.088e+03,5.811e+03
174.2,2.648e+02,1.403e+03,3.607e+03,5.274e+03
175.7,2.757e+02,2.453e+03,4.767e+03,7.496e+03
177.2,2.475e+02,3.991e+03,4.815e+03,9.053e+03
178.6,2.574e+02,3.144e+03,2.717e+03,6.118e+03
180.1,2.805e+02,3.845e+03,2.341e+03,6.467e+03
181.6,3.071e+02,5.008e+03,2.229e+03,7.544e+03
183.1,3.302e+02,5.860e+03,1.981e+03,8.171e+03
184.5,3.229e+02,6.910e+03,1.812e+03,9.044e+03
186.0,2.935e+02,9.026e+03,1.842e+03,1.116e+04
187.5,2.736e+02,9.551e+03,1.562e+03,1.139e+04
189.0,2.748e+02,8.916e+03,1.286e+03,1.048e+04
190.4,3.291e+02,1.608e+04,1.825e+03,1.824e+04
191.9,3.049e+02,1.520e+04,1.305e+03,1.681e+04
193.4,3.316e+02,1.594e+04,1.075e+03,1.735e+04
194.9,3.519e+02,1.598e+04,9.305e+02,1.726e+04
196.4,3.526e+02,1.464e+04,6.535e+02,1.564e+04
197.8,3.736e+02,1.507e+04,5.375e+02,1.598e+04
199.3,3.470e+02,1.022e+04,3.671e+02,1.094e+04
