freq,psd_x,psd_y,psd_z,psd_xyz
120.7,2.895e+02,1.062e+03,4.536e+02,1.805e+03
122.1,1.787e+02,1.126e+03,3.636e+02,1.668e+03
123.4,1.537e+02,1.084e+03,5.037e+02,1.741e+03
124.7,1.303e+02,8.251e+02,5.352e+02,1.491e+03
126.0,1.169e+02,5.714e+02,4.679e+02,1.156e+03
127.4,1.053e+02,5.608e+02,5.193e+02,1.185e+03
128.7,8.757e+01,5.591e+02,4.589e+02,1.106e+03
130.0,8.255e+01,5.128e+02,4.531e+02,1.048e+03
131.3,7.620e+01,5.821e+02,4.499e+02,1.108e+03
132.7,8.915e+01,7.720e+02,3.265e+02,1.188e+03
134.0,1.028e+02,8.996e+02,2.218e+02,1.224e+03
135.3,8.351e+01,7.192e+02,3.632e+02,1.166e+03
136.7,9.282e+01,1.507e+03,6.394e+02,2.239e+03
138.0,8.133e+01,1.486e+03,6.708e+02,2.238e+03
139.3,7.150e+01,9.210e+02,7.095e+02,1.702e+03
140.6,7.804e+01,1.435e+03,1.351e+03,2.864e+03
142.0,1.102e+02,1.770e+03,1.730e+03,3.611e+03
143.3,1.154e+02,2.012e+03,2.269e+03,4.397e+03
144.6,1.106e+02,2.502e+03,3.256e+03,5.869e+03
145.9,1.652e+02,3.963e+03,4.731e+03,8.859e+03
147.3,2.089e+02,4.028e+03,5.629e+03,9.867e+03
148.6,1.645e+02,2.576e+03,5.973e+03,8.714e+03
149.9,1.178e+02,2.039e+03,6.092e+03,8.248e+03
151.3,1.133e+02,2.846e+03,9.229e+03,1.219e+04
152.6,1.407e+02,3.591e+03,1.566e+04,1.939e+04
153.9,2.453e+02,4.067e+03,2.191e+04,2.623e+04
155.2,3.051e+02,3.685e+03,2.443e+04,2.842e+04
156.6,1.888e+02,2.702e+03,2.268e+04,2.557e+04
157.9,1.168e+02,1.756e+03,1.514e+04,1.702e+04
159.2,1.310e+02,2.479e+03,1.295e+04,1.556e+04
160.5,1.598e+02,3.541e+03,1.096e+04,1.466e+04
161.9,1.641e+02,3.842e+03,8.300e+03,1.231e+04
163.2,1.674e+02,4.061e+03,6.923e+03,1.115e+04
164.5,1.526e+02,4.114e+03,5.186e+03,9.453e+03
165.8,1.899e+02,6.297e+03,5.230e+03,1.172e+04
167.2,2.032e+02,8.229e+03,4.634e+03,1.307e+04
168.5,2.188e+02,9.569e+03,3.971e+03,1.376e+04
169.8,1.999e+02,9.529e+03,2.956e+03,1.268e+04
171.2,2.777e+02,1.436e+04,3.033e+03,1.767e+04
172.5,3.446e+02,1.943e+04,2.939e+03,2.271e+04
173.8,4.105e+02,3.025e+04,3.392e+03,3.405e+04
175.1,4.976e+02,4.205e+04,3.603e+03,4.615e+04
176.5,5.567e+02,5.160e+04,3.579e+03,5.573e+04
177.8,5.553e+02,5.074e+04,2.906e+03,5.420e+04
179.1,3.785e+02,3.195e+04,1.652e+03,3.398e+04
180.4,4.655e+02,3.460e+04,1.400e+03,3.646e+04
181.8,4.731e+02,3.025e+04,9.833e+02,3.171e+04
183.1,3.887e+02,2.120e+04,6.116e+02,2.220e+04
184.4,2.935e+02,1.325e+04,3.405e+02,1.389e+04
185.7,4.059e+02,1.644e+04,3.209e+02,1.717e+04
187.1,3.941e+02,1.422e+04,2.642e+02,1.488e+04
188.4,3.177e+02,9.205e+03,2.011e+02,9.724e+03
189.7,3.320e+02,7.962e+03,1.318e+02,8.425e+03
191.1,2.900e+02,5.904e+03,1.007e+02,6.295e+03
192.4,3.545e+02,6.416e+03,1.097e+02,6.880e+03
193.7,3.883e+02,5.953e+03,1.179e+02,6.459e+03
195.0,4.311e+02,5.019e+03,1.131e+02,5.563e+03
196.4,5.495e+02,4.610e+03,1.627e+02,5.322e+03
197.7,6.525e+02,4.274e+03,1.708e+02,5.098e+03
199.0,7.003e+02,4.178e+03,1.546e+02,5.033e+03
