freq,psd_x,psd_y,psd_z,psd_xyz
169.7,2.429e+02,2.305e+04,8.101e+03,3.140e+04
171.1,2.548e+02,2.506e+04,6.886e+03,3.221e+04
172.4,2.665e+02,2.797e+04,6.387e+03,3.463e+04
173.7,2.532e+02,3.093e+04,5.777e+03,3.696e+04
175.1,2.637e+02,3.437e+04,5.314e+03,3.995e+04
176.4,2.980e+02,3.693e+04,4.783e+03,4.201e+04
177.7,3.065e+02,3.677e+04,3.908e+03,4.099e+04
179.1,3.708e+02,3.696e+04,3.449e+03,4.078e+04
180.4,3.636e+02,2.555e+04,2.226e+03,2.814e+04
181.8,4.991e+02,3.234e+04,2.332e+03,3.517e+04
183.1,5.248e+02,2.823e+04,1.762e+03,3.051e+04
184.4,3.812e+02,1.534e+04,8.920e+02,1.661e+04
185.8,5.949e+02,2.410e+04,1.210e+03,2.591e+04
187.1,7.770e+02,2.999e+04,1.365e+03,3.213e+04
188.4,8.587e+02,2.917e+04,1.249e+03,3.128e+04
189.8,9.509e+02,2.565e+04,1.076e+03,2.768e+04
191.1,1.024e+03,2.328e+04,8.780e+02,2.519e+04
192.4,8.060e+02,1.462e+04,6.122e+02,1.604e+04
193.8,1.103e+03,1.772e+04,6.806e+02,1.950e+04
195.1,8.696e+02,1.212e+04,4.758e+02,1.347e+04
196.5,9.788e+02,1.220e+04,4.460e+02,1.362e+04
197.8,1.160e+03,1.358e+04,4.737e+02,1.521e+04
199.1,9.318e+02,9.707e+03,3.507e+02,1.099e+04
