freq,psd_x,psd_y,psd_z,psd_xyz,ei(50.6)
120.9,5.090e+00,9.623e+00,6.904e+00,2.162e+01,0.368
122.2,6.174e+00,1.121e+01,7.257e+00,2.464e+01,0.343
123.5,4.669e+00,1.185e+01,5.445e+00,2.196e+01,0.318
124.9,4.512e+00,1.488e+01,5.055e+00,2.445e+01,0.293
126.2,4.715e+00,1.828e+01,3.793e+00,2.679e+01,0.268
127.6,4.295e+00,2.435e+01,3.392e+00,3.204e+01,0.244
128.9,3.771e+00,2.823e+01,2.730e+00,3.473e+01,0.220
130.2,3.703e+00,2.386e+01,3.832e+00,3.140e+01,0.197
131.6,2.774e+00,1.617e+01,3.564e+00,2.251e+01,0.174
132.9,3.647e+00,2.221e+01,4.081e+00,2.994e+01,0.160
134.3,4.746e+00,2.343e+01,5.762e+00,3.394e+01,0.150
135.6,4.348e+00,3.299e+01,9.497e+00,4.684e+01,0.141
137.0,3.643e+00,3.104e+01,1.294e+01,4.762e+01,0.132
138.3,2.751e+00,2.775e+01,1.772e+01,4.823e+01,0.125
139.6,3.580e+00,2.117e+01,1.539e+01,4.014e+01,0.118
141.0,3.939e+00,2.105e+01,1.624e+01,4.123e+01,0.113
142.3,3.523e+00,3.197e+01,2.188e+01,5.737e+01,0.108
143.7,4.372e+00,3.295e+01,2.484e+01,6.216e+01,0.104
145.0,5.372e+00,3.627e+01,3.329e+01,7.492e+01,0.101
146.4,4.015e+00,3.956e+01,3.909e+01,8.266e+01,0.098
147.7,4.539e+00,2.553e+01,2.956e+01,5.962e+01,0.097
149.0,4.060e+00,4.665e+01,5.951e+01,1.102e+02,0.096
150.4,4.488e+00,5.757e+01,9.012e+01,1.522e+02,0.095
151.7,4.776e+00,4.910e+01,9.580e+01,1.497e+02,0.095
153.1,4.175e+00,2.923e+01,1.239e+02,1.573e+02,0.096
154.4,4.351e+00,3.810e+01,1.861e+02,2.285e+02,0.097
155.8,4.521e+00,3.420e+01,1.732e+02,2.119e+02,0.099
157.1,4.082e+00,4.430e+01,1.591e+02,2.075e+02,0.102
158.4,4.002e+00,4.839e+01,1.327e+02,1.851e+02,0.105
159.8,3.725e+00,6.472e+01,1.157e+02,1.842e+02,0.108
161.1,3.805e+00,7.330e+01,1.026e+02,1.797e+02,0.112
162.5,3.463e+00,5.677e+01,6.234e+01,1.226e+02,0.117
163.8,2.746e+00,6.044e+01,5.404e+01,1.172e+02,0.122
165.2,2.648e+00,1.005e+02,6.362e+01,1.668e+02,0.127
166.5,2.393e+00,1.717e+02,7.526e+01,2.493e+02,0.133
167.8,2.214e+00,2.003e+02,6.556e+01,2.681e+02,0.140
169.2,3.100e+00,1.555e+02,4.326e+01,2.019e+02,0.146
170.5,2.681e+00,2.930e+02,6.187e+01,3.576e+02,0.155
171.9,2.620e+00,3.577e+02,5.789e+01,4.182e+02,0.172
173.2,2.854e+00,4.293e+02,5.459e+01,4.868e+02,0.189
174.6,2.845e+00,4.778e+02,4.859e+01,5.292e+02,0.207
175.9,2.401e+00,5.172e+02,4.317e+01,5.628e+02,0.224
177.2,2.418e+00,5.476e+02,3.937e+01,5.894e+02,0.242
178.6,2.420e+00,5.301e+02,3.318e+01,5.657e+02,0.259
179.9,2.556e+00,5.075e+02,2.864e+01,5.387e+02,0.276
181.3,3.112e+00,4.388e+02,2.187e+01,4.638e+02,0.293
182.6,1.934e+00,3.672e+02,1.565e+01,3.848e+02,0.309
184.0,1.675e+00,3.448e+02,1.299e+01,3.594e+02,0.324
185.3,2.643e+00,2.261e+02,8.210e+00,2.370e+02,0.338
186.6,1.982e+00,2.263e+02,6.480e+00,2.347e+02,0.352
188.0,1.821e+00,2.169e+02,5.738e+00,2.245e+02,0.364
189.3,2.659e+00,1.315e+02,4.134e+00,1.383e+02,0.376
190.7,2.808e+00,1.209e+02,3.568e+00,1.273e+02,0.386
192.0,2.286e+00,1.319e+02,3.116e+00,1.373e+02,0.395
193.4,1.908e+00,8.077e+01,2.151e+00,8.483e+01,0.403
194.7,2.115e+00,7.567e+01,1.943e+00,7.973e+01,0.409
196.0,1.932e+00,8.068e+01,1.810e+00,8.442e+01,0.414
197.4,1.589e+00,6.708e+01,1.593e+00,7.026e+01,0.417
198.7,1.714e+00,6.434e+01,1.840e+00,6.789e+01,0.420
