freq,psd_x,psd_y,psd_z,psd_xyz,ei(36.0)
148.5,3.359e+00,2.693e+00,2.540e+00,8.592e+00,0.394
149.9,3.129e+00,3.059e+00,3.694e+00,9.882e+00,0.381
151.2,2.872e+00,4.894e+00,6.128e+00,1.389e+01,0.367
152.5,2.956e+00,5.582e+00,1.030e+01,1.884e+01,0.350
153.9,3.000e+00,4.622e+00,1.386e+01,2.149e+01,0.333
155.2,2.708e+00,4.022e+00,1.409e+01,2.082e+01,0.314
156.6,2.710e+00,2.537e+00,9.329e+00,1.458e+01,0.294
157.9,1.946e+00,1.697e+00,5.271e+00,8.914e+00,0.274
159.2,1.978e+00,2.329e+00,4.393e+00,8.700e+00,0.253
160.6,2.321e+00,3.018e+00,4.394e+00,9.733e+00,0.232
161.9,3.187e+00,4.969e+00,5.842e+00,1.400e+01,0.211
163.3,3.152e+00,6.095e+00,5.819e+00,1.507e+01,0.192
164.6,3.001e+00,7.199e+00,5.250e+00,1.545e+01,0.182
165.9,3.632e+00,9.607e+00,5.619e+00,1.886e+01,0.176
167.3,3.809e+00,9.195e+00,4.287e+00,1.729e+01,0.171
168.6,4.203e+00,8.379e+00,3.171e+00,1.575e+01,0.166
169.9,4.737e+00,9.054e+00,2.820e+00,1.661e+01,0.161
171.3,3.731e+00,9.983e+00,2.378e+00,1.609e+01,0.158
172.6,4.724e+00,1.422e+01,3.036e+00,2.198e+01,0.154
174.0,4.130e+00,1.569e+01,2.743e+00,2.256e+01,0.151
175.3,4.460e+00,1.519e+01,2.463e+00,2.211e+01,0.149
176.6,3.775e+00,1.117e+01,1.699e+00,1.664e+01,0.148
178.0,4.604e+00,1.181e+01,1.892e+00,1.830e+01,0.147
179.3,3.978e+00,1.120e+01,1.401e+00,1.658e+01,0.146
180.6,5.006e+00,1.274e+01,1.743e+00,1.949e+01,0.147
182.0,5.142e+00,1.334e+01,1.840e+00,2.032e+01,0.147
183.3,5.166e+00,1.328e+01,1.729e+00,2.018e+01,0.149
184.7,5.348e+00,1.342e+01,1.658e+00,2.043e+01,0.150
186.0,5.447e+00,1.353e+01,1.629e+00,2.060e+01,0.152
187.3,5.563e+00,1.223e+01,1.546e+00,1.934e+01,0.155
188.7,5.464e+00,1.140e+01,1.493e+00,1.836e+01,0.158
190.0,6.135e+00,1.209e+01,1.507e+00,1.973e+01,0.161
191.4,6.386e+00,1.088e+01,1.424e+00,1.869e+01,0.165
192.7,5.380e+00,8.055e+00,1.044e+00,1.448e+01,0.168
194.0,6.671e+00,8.796e+00,1.361e+00,1.683e+01,0.172
195.4,7.190e+00,8.596e+00,1.367e+00,1.715e+01,0.179
196.7,7.510e+00,8.333e+00,1.379e+00,1.722e+01,0.194
198.0,7.716e+00,8.383e+00,1.354e+00,1.745e+01,0.209
199.4,6.211e+00,7.489e+00,1.042e+00,1.474e+01,0.224
