freq,psd_x,psd_y,psd_z,psd_xyz,ei(55.8)
131.0,4.983e+01,2.573e+02,2.551e+01,3.326e+02,0.404
132.5,3.295e+01,1.426e+02,1.671e+01,1.922e+02,0.380
134.0,1.198e+01,4.566e+01,7.545e+00,6.519e+01,0.355
135.5,3.881e+00,1.851e+01,3.448e+00,2.584e+01,0.330
137.0,1.751e+00,1.285e+01,2.052e+00,1.665e+01,0.305
138.5,1.204e+00,9.999e+00,1.603e+00,1.281e+01,0.280
140.0,9.474e-01,1.002e+01,1.762e+00,1.273e+01,0.255
141.5,9.975e-01,1.067e+01,2.093e+00,1.376e+01,0.231
143.0,9.662e-01,1.206e+01,3.322e+00,1.634e+01,0.207
144.4,8.705e-01,1.128e+01,5.462e+00,1.762e+01,0.184
145.9,6.587e-01,8.524e+00,5.458e+00,1.464e+01,0.164
147.4,6.076e-01,1.065e+01,7.929e+00,1.919e+01,0.154
148.9,5.675e-01,1.172e+01,6.932e+00,1.922e+01,0.144
150.4,4.889e-01,1.241e+01,4.939e+00,1.783e+01,0.136
151.9,4.642e-01,2.050e+01,5.411e+00,2.638e+01,0.128
153.4,5.235e-01,2.539e+01,6.920e+00,3.283e+01,0.121
154.9,5.442e-01,2.086e+01,7.496e+00,2.890e+01,0.115
156.4,5.258e-01,1.789e+01,9.280e+00,2.769e+01,0.110
157.8,6.076e-01,2.509e+01,1.381e+01,3.950e+01,0.105
159.3,7.704e-01,2.631e+01,1.929e+01,4.637e+01,0.102
160.8,6.795e-01,1.947e+01,1.787e+01,3.802e+01,0.099
162.3,6.804e-01,2.249e+01,2.478e+01,4.795e+01,0.097
163.8,7.985e-01,2.233e+01,2.793e+01,5.105e+01,0.096
165.3,1.604e+00,1.486e+01,3.714e+01,5.361e+01,0.095
166.8,1.541e+00,1.649e+01,4.663e+01,6.467e+01,0.095
168.3,1.836e+00,1.714e+01,6.103e+01,8.001e+01,0.096
169.8,1.675e+00,1.853e+01,7.051e+01,9.072e+01,0.097
171.2,8.876e-01,1.614e+01,7.366e+01,9.068e+01,0.098
172.7,1.107e+00,1.643e+01,8.490e+01,1.024e+02,0.101
174.2,1.125e+00,2.324e+01,9.529e+01,1.197e+02,0.103
175.7,1.137e+00,3.010e+01,8.584e+01,1.171e+02,0.107
177.2,9.727e-01,3.130e+01,6.532e+01,9.759e+01,0.111
178.7,8.795e-01,3.519e+01,4.871e+01,8.477e+01,0.115
180.2,7.333e-01,4.642e+01,4.151e+01,8.867e+01,0.120
181.7,8.112e-01,7.698e+01,4.758e+01,1.254e+02,0.125
183.2,7.003e-01,5.701e+01,2.826e+01,8.597e+01,0.131
184.7,9.069e-01,7.489e+01,3.099e+01,1.068e+02,0.138
186.1,9.511e-01,8.204e+01,2.745e+01,1.104e+02,0.144
187.6,8.449e-01,9.674e+01,2.489e+01,1.225e+02,0.151
189.1,1.012e+00,1.172e+02,2.464e+01,1.428e+02,0.167
190.6,8.427e-01,1.565e+02,2.580e+01,1.831e+02,0.184
192.1,6.088e-01,2.143e+02,2.802e+01,2.430e+02,0.202
193.6,6.536e-01,1.671e+02,1.994e+01,1.877e+02,0.220
195.1,7.993e-01,2.260e+02,2.199e+01,2.488e+02,0.237
196.6,1.139e+00,3.042e+02,2.586e+01,3.312e+02,0.255
198.1,1.465e+00,3.237e+02,2.372e+01,3.489e+02,0.272
199.5,1.038e+00,3.295e+02,1.993e+01,3.504e+02,0.289
