freq,psd_x,psd_y,psd_z,psd_xyz
163.8,2.430e+02,1.519e+03,1.435e+03,3.197e+03
165.2,3.453e+02,1.260e+03,2.506e+03,4.111e+03
166.7,3.765e+02,1.377e+03,4.342e+03,6.095e+03
168.2,3.886e+02,1.933e+03,6.344e+03,8.665e+03
169.7,3.341e+02,2.105e+03,7.555e+03,9.994e+03
171.2,1.957e+02,2.089e+03,7.998e+03,1.028e+04
172.7,2.151e+02,1.710e+03,9.790e+03,1.172e+04
174.2,2.078e+02,1.642e+03,9.760e+03,1.161e+04
175.7,1.950e+02,1.735e+03,8.676e+03,1.061e+04
177.2,2.247e+02,2.364e+03,8.761e+03,1.135e+04
178.6,2.414e+02,2.917e+03,6.854e+03,1.001e+04
180.1,1.883e+02,2.689e+03,4.283e+03,7.161e+03
181.6,2.212e+02,3.811e+03,4.296e+03,8.328e+03
183.1,2.372e+02,4.548e+03,3.912e+03,8.698e+03
184.6,3.280e+02,7.090e+03,4.581e+03,1.200e+04
186.1,3.113e+02,8.052e+03,3.782e+03,1.215e+04
187.6,3.372e+02,1.035e+04,3.706e+03,1.439e+04
189.1,2.578e+02,8.332e+03,2.398e+03,1.099e+04
190.5,2.594e+02,9.470e+03,2.247e+03,1.198e+04
192.0,3.354e+02,1.322e+04,2.702e+03,1.625e+04
193.5,3.297e+02,1.396e+04,2.326e+03,1.662e+04
195.0,3.292e+02,1.562e+04,2.116e+03,1.807e+04
196.5,3.011e+02,1.654e+04,1.878e+03,1.872e+04
198.0,3.346e+02,1.846e+04,1.711e+03,2.051e+04
199.5,3.244e+02,2.032e+04,1.618e+03,2.226e+04
