freq,psd_x,psd_y,psd_z,psd_xyz,ei(42.6)
178.8,3.081e+00,2.851e+00,4.944e+00,1.088e+01,0.368
180.2,2.380e+00,5.044e+00,8.904e+00,1.633e+01,0.353
181.7,3.089e+00,8.801e+00,1.148e+01,2.337e+01,0.337
183.2,3.867e+00,1.072e+01,1.097e+01,2.556e+01,0.319
184.7,3.363e+00,8.948e+00,7.083e+00,1.939e+01,0.301
186.2,2.448e+00,1.013e+01,8.042e+00,2.062e+01,0.282
187.7,3.943e+00,1.224e+01,7.922e+00,2.410e+01,0.263
189.2,4.511e+00,1.495e+01,8.335e+00,2.780e+01,0.243
190.7,4.662e+00,1.651e+01,8.081e+00,2.926e+01,0.223
192.2,2.996e+00,1.683e+01,6.034e+00,2.586e+01,0.204
193.6,4.868e+00,2.393e+01,8.058e+00,3.685e+01,0.187
195.1,5.137e+00,2.939e+01,8.133e+00,4.266e+01,0.181
196.6,4.028e+00,3.565e+01,7.431e+00,4.711e+01,0.175
198.1,4.832e+00,4.426e+01,8.284e+00,5.737e+01,0.170
199.6,4.380e+00,3.619e+01,6.206e+00,4.677e+01,0.166
