--- window K1_SCREWS 09:08-09:10
09:50:49 179.000 237.000 -0.028256
09:50:55 150.000 237.000 -0.019656
09:51:01 150.000 266.000 -0.061281
09:51:07 179.000 266.000 -0.077707
09:51:12 208.000 266.000 -0.078188
09:51:17 237.000 266.000 -0.105750
09:51:23 266.000 266.000 -0.096571
09:51:33 295.000 266.000 -0.109580
09:51:40 295.000 295.000 -0.147313
09:51:45 266.000 295.000 -0.116719
09:51:51 237.000 295.000 -0.103375
09:51:56 208.000 295.000 -0.093719
09:52:01 179.000 295.000 -0.085142
09:52:15 150.000 295.000 0.016425
